"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 14:01:51 IST 2023","Thu Aug 10 14:02:08 IST 2023","16391","testCases","test_login","Test_Login","","","test_login_002",""
"passed","Thu Aug 10 14:01:21 IST 2023","Thu Aug 10 14:01:22 IST 2023","208","testCases","test_login","Test_Login","","","test_pagetitle",""
"passed","Thu Aug 10 13:53:15 IST 2023","Thu Aug 10 13:53:16 IST 2023","456","","test_login","Test_Login","","","test_pagetitle",""
"passed","Thu Aug 10 13:53:51 IST 2023","Thu Aug 10 13:54:11 IST 2023","20201","","test_login","Test_Login","","","test_login_002",""
